Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0130028990840682,0.00737220231148084,0.0288621094500895,0,0,0,1.80445500079186,0.00556780003577727,1.30781796461846E-06,-0.000488105095997363,0.0133501953719257,4.44454278203137E-07,0.0165442925617419,0,0,0,0,0,0,package://urdf_v14/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/base.STL,,base_link v5.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"base_link ",0.0321972293709568,-0.00450790666487971,0.341236918647023,0,0,0,2.09089553432608,0.0136131889403249,2.90618833897183E-06,-3.06670536445142E-05,0.00966544701473819,-0.00040890472579642,0.00889750808908611,0,0,0,0,0,0,package://urdf_v14/meshes/base_link .STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/base_link .STL,,moveo_basev2.step-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,-0.00106805874828991,0,-0.178116650409825,0,0,0,base,0,0,1,,,,,,,,,,,,
shoulder,0.0327109438247253,0.0090061483727204,0.338475981389051,0,0,0,1.9311319529274,0.0170862683816139,3.46358389032188E-06,4.83215863715807E-06,0.0162697573913769,-0.000123095312524171,0.00359988578300223,0,0,0,0,0,0,package://urdf_v14/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/shoulder.STL,,moveo_shoulder_1.step-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0,0.166937311025839,0,0,0,"base_link ",0,1,0,,,,,,,,,,,,
elbow,0.0326670642713736,0.00715912581431416,0.30158523565309,0,0,0,0.777952679552694,0.00228134086893177,-7.58975274749229E-08,-7.86405962820521E-06,0.00230093019963911,-3.06257703670829E-05,0.00073073367472752,0,0,0,0,0,0,package://urdf_v14/meshes/elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/elbow.STL,,mover_elbow_1.step-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,0,0.221123792803555,0,0,0,shoulder,0,1,0,,,,,,,,,,,,
wrist_1,0.0335604176878077,0.00990372062900691,0.314139265995466,0,0,0,0.336033424374674,0.000698625637496854,-1.01631185415773E-06,3.1611007634969E-06,0.000573509159553982,1.12152122482314E-05,0.000348769119501591,0,0,0,0,0,0,package://urdf_v14/meshes/wrist_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/wrist_1.STL,,moveo_wrist_1_1.step-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,0.000500999999999197,0.129539254362447,0,0,0,elbow,0,0,1,,,,,,,,,,,,
wrist_2,0.0336476738493878,0.00774576257756454,0.262759833128953,0,0,0,0.158623996627696,8.93586388886451E-05,-5.51302960471509E-09,-1.3377108412577E-07,0.00010631852912948,-6.19861774850427E-07,7.50986760103092E-05,0,0,0,0,0,0,package://urdf_v14/meshes/wrist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/wrist_2.STL,,moveo_wrist_2_1.step-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,0,0.0989607456375549,0,0,0,wrist_1,0,1,0,,,,,,,,,,,,
gripper_base,0.049310734264296,0.00595051508193845,0.987870668668528,0,0,0,0.0669550620915273,2.24619079422005E-05,2.35944484334568E-06,-2.80744907463445E-06,3.18452557805142E-05,3.46640737232404E-07,3.67915443984289E-05,0,0,0,0,0,0,package://urdf_v14/meshes/gripper_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/gripper_base.STL,,gripper_base_1.step-1,Origin_joint_6,Axis_joint_6,joint_6,fixed,0,-0.000501000000000529,-0.666561103829396,0,0,0,wrist_2,0,0,0,,,,,,,,,,,,
gear1,0.0205215425307574,-0.168935803411292,-0.0148668300200882,0,0,0,0.0043827310815076,9.89298062105413E-07,3.939807965992E-09,-9.62445280927115E-10,1.88757936769923E-07,4.03528750728449E-08,8.26425730216098E-07,0,0,0,0,0,0,package://urdf_v14/meshes/gear1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/gear1.STL,,servo_gear_1.step-1,Origin_joint_72,Axis_joint_72,joint_7,continuous,0.012918,0.0098964,0.83019,-1.557,0.0046185,0.0046825,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
leg1-1,0.0277829222233545,-0.0168341353236492,0.208304045603814,0,0,0,0.0106754301777324,4.10204619035355E-06,-4.70379078915132E-09,-2.62404591930172E-08,4.17675992343615E-06,-6.39733993511733E-07,5.77343753638436E-07,0,0,0,0,0,0,package://urdf_v14/meshes/leg1-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/leg1-1.STL,,gripper_leg_a_1.step-1,Origin_joint_11,Axis1,joint_11,fixed,-0.0058669,-0.019902,0.0073019,1.557,0.0046185,-0.0046825,gear1,0,0,0,,,,,,,,,,,,
gear2,-0.0205581092910689,-0.16849483490091,0.0173938197511343,0,0,0,0.00438273108004801,9.89301799259922E-07,-3.56118651444805E-09,-5.63487963012307E-10,1.88757882873171E-07,4.03876171884194E-08,8.2642203815549E-07,0,0,0,0,0,0,package://urdf_v14/meshes/gear2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v14/meshes/gear2.STL,,servo_gear_1.step2-2,Origin_joint_82,Axis_joint_82,joint_8,continuous,0.012869,0.037896,0.83019,-1.5571,-0.0047473,-3.1369,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
