Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0435393633147197,1.22538169029518E-05,0.0288009133501952,0,0,0,1.80445503924572,0.00557261131322256,1.30566290520113E-06,-0.0005394752363291,0.0133501948737187,4.5057300847886E-07,0.0165394809238565,0,0,0,0,0,0,package://urdfv5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/base_link.STL,,base_link v5.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base,-3.642206133736E-05,-0.0118679007139265,0.0827015228083971,0,0,0,2.09089475872426,0.0136133851140564,4.81729455017446E-06,-8.59098005598292E-06,0.00966544956416382,-0.000408881345999402,0.00889732541662392,0,0,0,0,0,0,package://urdfv5/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/base.STL,,moveo_basev2.step-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.0805626889741612,0,0,-0.0137749399473416,base_link,0,0,1,,,,,,,,,,,,
shoulder,0.000114821633251605,0.00164617005672685,0.079941299505606,0,0,0,1.9311302244136,0.0170861143600446,3.41444124886214E-06,-5.13579918498232E-07,0.0162696160792994,-0.000123088013545127,0.00359987375721594,0,0,0,0,0,0,package://urdfv5/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/shoulder.STL,,moveo_shoulder_1.step-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0,0.166937311025839,0,-0.0401786148125149,0,base,0,1,0,,,,,,,,,,,,
elbow,-7.46045453986488E-05,-0.000200828897961525,0.0430510848285705,0,0,0,0.777952518165522,0.00228138046770406,6.74965200477039E-08,-6.02495655393824E-07,0.00230093015725966,-3.06257161230913E-05,0.000730693959243023,0,0,0,0,0,0,package://urdfv5/meshes/elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/elbow.STL,,mover_elbow_1.step-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,0,0.221123792803564,0,0.0401786148125149,0,shoulder,0,1,0,,,,,,,,,,,,
wrist_1,0.000153325816812655,0.0025437716284466,0.0552077428933772,0,0,0,0.336033431090024,0.00069858897414835,-1.06885826113012E-06,4.79930621864448E-06,0.000573509858053779,1.12101684178498E-05,0.000348806651356732,0,0,0,0,0,0,package://urdfv5/meshes/wrist_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/wrist_1.STL,,moveo_wrist_1_1.step-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,0.000500999999999752,0.129539254362443,0,0,0,elbow,0,0,1,,,,,,,,,,,,
wrist_2,1.77688284443978E-05,0.000385812686423792,0.00382819956222746,0,0,0,0.158623990907744,8.93595780141302E-05,-2.61043353678291E-09,-6.69999126984601E-08,0.000106318526071324,-6.1988141359002E-07,7.50977321539318E-05,0,0,0,0,0,0,package://urdfv5/meshes/wrist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/wrist_2.STL,,moveo_wrist_2_1.step-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,0,0.098960745637557,0,0,0,wrist_1,0,1,0,,,,,,,,,,,,
gripper_base,0.0143867707676764,-0.00449126467228944,0.734040602378814,0,0,0,0.0669550612665462,2.24885103666953E-05,2.35779531665101E-06,-2.87441655039097E-06,3.18452563755661E-05,3.57683862208844E-07,3.67649414256568E-05,0,0,0,0,0,0,package://urdfv5/meshes/gripper_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/gripper_base.STL,,gripper_base_1.step-1,Origin_joint_6,Axis_joint_6,joint_6,fixed,0.00101787720548718,0.0025808298232558,-0.67198995308091,0,0,0,wrist_2,0,0,0,,,,,,,,,,,,
gripper_link_gear1,-0.00297505714593504,-0.000951058332112287,0.00793987065824242,0,0,0,0.0043827321176342,9.89267955956112E-07,-2.40994167790054E-09,-4.25781888054711E-09,8.26887819478162E-07,-3.67425672143889E-08,1.88326002162975E-07,0,0,0,0,0,0,package://urdfv5/meshes/gripper_link_gear1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/gripper_link_gear1.STL,,servo_gear_1.step-1,Origin_joint_72,Axis_joint_72,joint_7,continuous,0.0022853,-0.016581,0.73698,0,0,0.013775,gripper_base,0.99989,-0.013774,-0.0046829,,,,,,,,,,,,
gripper_link_gear2,0.00299446841718953,-0.00793429080604857,-0.000936572435455252,0,0,0,0.00438273213416302,9.89317570900061E-07,1.98696293022724E-10,-7.64266699711604E-10,1.89001473415262E-07,4.23806388608005E-08,8.2616283422686E-07,0,0,0,0,0,0,package://urdfv5/meshes/gripper_link_gear2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/gripper_link_gear2.STL,,servo_gear_1.step2-2,Origin_joint_83,Axis_joint_83,joint_8,continuous,0.0022853,0.011419,0.73698,-1.5621,-0.0047239,-3.1369,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
gripper_arm1,-0.0030138820723864,-0.0200002768409102,1.41270823689754E-05,0,0,0,0.00163735500294603,3.04623057395779E-07,3.1959275327615E-14,-4.21698270677683E-12,1.02986323316765E-08,4.46309318162813E-13,3.03722580975889E-07,0,0,0,0,0,0,package://urdfv5/meshes/gripper_arm1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfv5/meshes/gripper_arm1.STL,,pivot_arm_a_1.step-1,Origin_joint_93,Axis_joint_92,joint_9,continuous,0.002394,-0.0095808,0.75697,-1.562,0.0046418,0.0046828,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
